emp_no,salary,from_date,to_date
11388,43632,1985-12-20,1986-12-20
11389,86011,1992-02-20,1993-02-19
11390,40000,1990-12-19,1991-12-19
11391,54638,1994-10-14,1995-10-14
11392,62114,1999-04-21,2000-04-20
11393,40000,1985-04-30,1986-04-30
11394,40000,1988-12-20,1989-12-20
11395,51673,1987-06-20,1988-06-19
11396,48918,1997-02-04,1998-02-04
11397,40000,1992-12-12,1993-12-12
11398,44625,1994-09-07,1995-09-07
11399,40324,1999-07-20,2000-07-19
11400,40000,1990-04-23,1991-04-23
11401,52021,1995-04-15,1996-04-14
11402,89345,1985-03-10,1986-03-10
11403,87912,1989-08-03,1990-08-03
11404,42907,1990-09-25,1991-09-25
11405,47098,1993-04-14,1994-04-14
11406,71834,1989-03-13,1990-03-13
11407,50395,1991-05-06,1992-05-05
11408,65600,1996-02-15,1997-02-14
11409,40000,1997-12-28,1998-12-28
11410,45665,1999-10-25,2000-10-24
11411,45516,1992-05-17,1993-05-17
11412,73045,1996-02-02,1997-02-01
11413,40220,1991-01-24,1992-01-24
11414,76725,1989-01-02,1990-01-02
11415,40000,1996-12-07,1997-12-07
11416,58151,1987-09-21,1988-09-20
11417,74114,1992-12-21,1993-12-21
11418,40000,1991-12-30,1992-12-29
11419,47542,1996-04-13,1997-04-13
11420,40000,1992-01-31,1993-01-30
11421,52416,1986-09-02,1987-09-02
11422,44085,1990-12-04,1991-12-04
11423,43947,1998-10-13,1999-10-12
11424,40000,1991-02-14,1992-02-14
11425,40000,1990-08-27,1991-08-27
11426,78109,1996-10-13,1997-10-13
11427,65177,1994-02-25,1995-02-25
11428,40000,1994-07-31,1995-07-31
11429,78620,1986-10-16,1987-10-16
11430,71181,1997-07-06,1998-07-06
11431,44804,1985-09-16,1986-09-16
11432,40208,1987-10-19,1988-10-18
11433,40000,1994-09-27,1995-09-27
11434,54798,1992-10-18,1993-10-18
11435,65726,1986-10-15,1987-10-15
11436,67921,1999-01-14,1999-11-22
11437,40000,1991-08-12,1992-08-11
11438,53950,1997-08-30,1998-08-30
11439,69470,1997-05-23,1998-05-23
11440,40000,1994-03-03,1995-03-03
11441,67352,1987-03-27,1988-03-26
11442,40000,1987-06-22,1988-06-21
11443,82308,1989-08-15,1990-08-15
11444,40000,1992-01-01,1992-12-31
11445,40000,1997-06-11,1998-06-11
11446,40000,1991-04-06,1992-04-05
11447,74396,1985-09-18,1986-09-18
11448,40000,1995-08-26,1996-08-25
11449,61434,1995-02-03,1996-02-03
11450,42732,1988-10-06,1989-10-06
11451,61848,1990-05-20,1991-05-20
11452,52083,1993-08-26,1994-08-26
11453,50997,1990-07-13,1991-07-13
11454,58237,1998-07-12,1999-07-12
11455,46590,1994-08-14,1995-08-14
11456,46367,1999-03-20,2000-03-19
11457,40000,1991-02-10,1992-02-10
11458,43739,1985-10-06,1986-10-06
11459,40000,1986-05-03,1987-05-03
11460,45712,1992-05-28,1993-05-28
11461,49398,1986-08-19,1987-08-19
11462,74001,1998-06-25,1999-06-25
11463,40000,1994-01-26,1995-01-26
11464,40000,1992-05-30,1993-05-30
11465,40000,1985-07-14,1986-07-14
11466,40472,1989-07-02,1990-07-02
11467,60924,1993-06-16,1994-06-16
11468,85983,1996-03-19,1997-03-19
11469,44625,1994-09-08,1995-09-08
11470,54614,1999-08-10,2000-08-09
11471,40000,1997-04-05,1998-04-05
11472,71642,1990-04-30,1991-04-30
11473,40000,1993-07-02,1994-07-02
11474,59016,1993-12-29,1994-12-29
11475,49565,1998-09-14,1999-09-14
11476,56449,1994-01-15,1995-01-15
11477,40000,1996-07-28,1996-09-12
11478,93693,1999-09-10,2000-09-09
11479,78157,1999-02-10,2000-02-10
11480,85687,1995-11-28,1996-11-27
11481,42627,1987-05-01,1988-04-30
11482,93516,1991-04-03,1992-04-02
11483,66924,1995-03-07,1996-03-06
11484,78045,1999-10-06,1999-10-22
11485,45743,1993-10-12,1994-10-12
11486,107118,1985-05-31,1986-05-31
11487,63779,1997-10-14,1998-10-14
11488,55704,1987-08-25,1988-08-24
11489,50394,1991-03-24,1992-03-23
11490,40000,1997-10-24,1998-10-24
11491,40000,1988-11-08,1989-11-08
11492,52639,1994-05-22,1995-05-22
11493,84934,1995-07-22,1996-07-21
11494,46637,1991-02-14,1992-02-14
11495,40220,1989-09-13,1990-09-13
11496,40000,1992-07-09,1993-07-09
11497,47324,1999-12-09,2000-12-08
11498,40000,1994-01-19,1995-01-19
11499,40000,1989-03-08,1990-03-08
11500,53141,1991-05-07,1992-05-06
11501,48608,1991-10-24,1992-10-23
11502,40000,1999-12-04,2000-12-03
11503,56928,1997-04-09,1998-04-09
11504,68510,1990-09-30,1991-09-30
11505,49847,1991-06-11,1992-06-10
11506,89747,1996-04-08,1997-04-08
11507,46183,1999-09-26,2000-09-25
11508,61373,1988-04-12,1989-04-12
11509,40000,1987-11-12,1988-11-11
11510,40000,1998-12-29,1999-12-29
11511,63552,1997-05-28,1998-05-28
11512,45659,1987-09-01,1988-08-31
11513,82525,1992-08-25,1993-08-25
11514,40000,1990-05-14,1991-05-14
11515,70182,1998-09-21,1999-09-21
11516,42666,1992-07-26,1993-01-15
11517,54453,1986-10-09,1987-10-09
11518,40000,1994-09-22,1995-09-22
11519,61444,1997-06-12,1998-06-12
11520,73886,1991-11-20,1992-11-19
11521,67809,1995-10-17,1996-10-16
11522,49279,1999-08-04,2000-08-03
11523,64203,1992-12-23,1993-12-23
11524,41081,1996-07-05,1997-07-05
11525,61691,1988-11-03,1989-11-03
11526,67591,1992-02-23,1993-02-22
11527,60212,1999-01-28,2000-01-28
11528,44026,1987-06-15,1988-06-14
11529,45513,1991-11-22,1992-09-13
11530,56081,1992-08-30,1993-08-30
11531,53370,1992-11-04,1993-11-04
11532,40000,1991-12-01,1992-11-30
11533,40000,1991-08-20,1992-08-19
11534,40000,1991-09-21,1992-09-20
11535,64204,1999-05-26,2000-05-25
11536,51854,1991-09-06,1992-09-05
11537,96023,1986-07-06,1987-07-06
11538,40000,1987-03-24,1988-03-23
11539,51616,1998-12-25,1999-12-25
11540,70043,1997-07-02,1998-07-02
11541,40000,1992-06-15,1993-06-15
11542,40000,1985-06-20,1986-06-20
11543,40000,1987-04-01,1988-03-31
11544,41062,1993-12-20,1994-12-20
11545,40000,1986-09-19,1987-09-19
11546,78216,1987-06-30,1988-06-29
11547,88701,1991-01-18,1992-01-18
11548,40000,1986-05-16,1987-05-16
11549,47524,1999-03-07,2000-03-06
11550,40000,1997-12-16,1998-12-16
11551,63612,1986-05-09,1987-05-09
11552,73942,1994-08-26,1995-08-26
11553,50541,1996-11-30,1997-11-30
11554,46065,1998-07-15,1999-07-15
11555,40000,1986-10-14,1987-10-14
11556,94203,1994-06-22,1995-06-22
11557,57561,1998-12-17,1999-12-17
11558,40000,1996-09-18,1997-09-18
11559,79916,1990-12-17,1991-12-17
11560,55608,1991-10-02,1992-10-01
11561,41388,1989-12-26,1990-12-26
11562,82255,1988-06-30,1989-06-30
11563,44919,1988-12-10,1989-12-10
11564,71216,1989-10-12,1990-10-12
11565,40000,1988-02-03,1989-02-02
11566,50466,1995-01-09,1996-01-09
11567,86261,1988-02-03,1989-02-02
11568,54673,1992-03-13,1993-03-13
11569,56536,1988-11-23,1989-11-23
11570,49184,1988-10-07,1989-10-07
11571,40000,1986-02-15,1987-02-15
11572,40000,1985-08-23,1986-08-23
11573,46194,1990-02-04,1991-02-04
11574,40000,1999-02-23,2000-02-23
11575,50896,1994-06-01,1995-06-01
11576,75077,1992-11-12,1993-11-12
11577,40000,1992-09-23,1993-09-23
11578,40000,1985-11-22,1986-11-22
11579,51201,1997-05-25,1998-05-25
11580,40000,1985-07-06,1986-07-06
11581,46950,1992-11-13,1993-11-13
11582,46584,1995-07-17,1996-07-16
11583,56846,1994-07-08,1994-08-30
11584,54421,1985-06-20,1986-06-20
11585,44852,1994-10-13,1995-10-13
11586,85929,1997-09-09,1998-09-09
11587,40000,1989-04-24,1990-04-24
11588,40000,1994-12-24,1995-06-12
11589,58444,1994-05-06,1995-05-06
11590,40000,1997-06-26,1998-06-26
11591,40000,1986-01-07,1987-01-07
11592,55959,1998-03-10,1999-03-10
11593,40000,1999-03-09,2000-03-08
11594,47334,1994-12-04,1995-12-04
11595,68224,1992-09-08,1993-09-08
11596,54076,1995-11-23,1996-11-22
11597,43205,1990-02-01,1991-02-01
11598,48112,1994-04-02,1995-04-02
11599,72403,1995-10-19,1996-10-18
11600,51994,1995-08-14,1996-08-13
11601,40000,1991-03-07,1992-03-06
11602,58575,1993-06-21,1994-06-21
11603,69180,1985-04-13,1986-04-13
11604,67601,1990-12-11,1991-12-11
11605,40000,1994-10-08,1995-10-08
11606,40000,1994-09-27,1995-09-27
11607,49584,1995-04-19,1996-04-18
11608,75458,1987-04-19,1988-04-18
11609,71954,2000-01-12,2001-01-11
11610,43598,1985-10-18,1986-10-18
11611,70990,1995-02-27,1996-02-27
11612,40000,1990-12-10,1991-12-10
11613,40000,1998-05-30,1999-05-30
11614,68728,1986-03-08,1987-03-08
11615,46591,1991-08-29,1992-08-28
11616,41900,1993-12-30,1994-12-30
11617,48838,1992-03-19,1993-03-19
11618,73416,1999-04-06,2000-04-05
11619,75765,1998-06-14,1999-06-14
11620,40000,1985-10-16,1986-10-16
11621,60596,1986-11-17,1987-11-17
11622,54953,1992-05-11,1993-05-11
11623,67994,1990-03-05,1991-03-05
11624,42001,1989-07-15,1990-07-15
11625,60333,1996-04-19,1997-04-19
11626,40000,1987-07-10,1988-07-09
11627,47168,1998-10-31,1999-10-31
11628,43966,1988-10-23,1989-10-23
11629,40000,1994-12-16,1995-12-16
11630,48782,1999-06-03,1999-08-24
11631,40000,1992-04-14,1993-04-14
11632,73029,1999-09-19,2000-09-18
11633,40000,1994-09-28,1995-09-28
11634,42068,2000-01-01,2000-12-31
11635,40000,1989-10-13,1990-10-13
11636,47900,1992-11-16,1993-11-16
11637,47301,1999-01-28,2000-01-28
11638,59646,1986-03-30,1987-03-30
11639,44728,1987-02-18,1988-02-18
11640,52520,1988-09-26,1989-09-26
11641,53327,1991-06-18,1992-06-17
11642,40000,1998-04-18,1999-04-18
11643,51970,1999-08-01,2000-07-31
11644,80722,1995-08-09,1996-08-08
11645,61796,1985-06-10,1986-06-10
11646,55411,1999-12-15,2000-12-14
11647,40000,1988-05-11,1989-05-11
11648,40000,1992-02-15,1993-02-14
11649,40000,1992-12-11,1993-12-11
11650,40000,1996-12-05,1997-12-05
11651,57164,1987-08-09,1988-08-08
11652,58583,1999-07-06,2000-07-05
11653,42624,1993-02-26,1994-02-26
11654,40000,1996-01-16,1997-01-15
11655,40000,1991-09-23,1992-09-22
11656,61926,1999-01-25,2000-01-25
11657,40000,1989-03-19,1990-03-19
11658,50087,1994-10-20,1995-10-20
11659,77527,1994-03-31,1995-03-31
11660,65758,1986-11-22,1987-11-22
11661,47700,1995-08-24,1996-08-23
11662,66700,1991-02-16,1992-02-16
11663,69423,1987-09-11,1988-09-10
11664,70380,1990-09-07,1991-09-07
11665,40000,1994-12-03,1995-12-03
11666,69278,1992-04-25,1993-04-25
11667,79814,1990-09-08,1991-09-08
11668,81323,1992-10-26,1993-10-26
11669,41183,1997-05-12,1998-05-12
11670,60931,1985-05-17,1986-05-17
11671,55227,1986-12-31,1987-12-31
11672,81212,1989-07-29,1990-07-29
11673,40000,1989-06-10,1990-06-10
11674,41454,1987-12-20,1988-12-19
11675,59823,1988-04-02,1989-04-02
11676,43310,1998-07-15,1999-07-15
11677,86658,1991-09-12,1992-09-11
11678,54238,1985-02-24,1986-02-24
11679,47190,1991-01-02,1992-01-02
11680,83768,1994-10-05,1995-10-05
11681,40000,1988-08-27,1989-08-27
11682,48241,1986-11-27,1987-11-27
11683,40000,1996-01-21,1997-01-20
11684,68753,1986-02-21,1987-02-21
11685,40000,1999-07-01,2000-06-30
11686,40000,1995-04-21,1996-04-20
11687,40000,1992-03-22,1993-03-22
11688,62954,1994-10-29,1995-10-29
11689,88980,1989-11-08,1990-11-08
11690,44420,1997-09-23,1998-09-23
11691,46240,1989-04-04,1990-04-04
11692,61845,1989-04-20,1990-04-20
11693,70403,1991-08-24,1992-08-23
11694,40000,1989-03-31,1990-03-31
11695,46989,1989-04-26,1990-04-21
11696,51633,1985-10-23,1986-10-23
11697,44268,1999-12-10,2000-12-09
11698,92931,1997-07-31,1998-07-31
11699,40000,1994-01-20,1995-01-20
11700,51475,1993-06-17,1994-06-17
11701,61097,1997-08-09,1998-08-09
11702,94495,1988-09-18,1989-09-18
11703,40000,1989-07-23,1990-07-23
11704,48727,1999-04-04,2000-04-03
11705,79701,1985-10-30,1986-10-30
11706,61482,1999-03-24,2000-03-23
11707,55379,1994-04-07,1995-04-07
11708,68112,1992-09-18,1993-09-18
11709,43381,1985-11-09,1986-11-09
11710,41951,1998-11-06,1999-11-06
11711,53170,1990-06-15,1991-06-15
11712,40000,1999-06-11,2000-06-10
11713,53387,1994-10-04,1995-10-04
11714,40000,1997-09-26,1997-12-17
11715,48995,1998-02-21,1999-02-21
11716,40000,1989-05-09,1990-05-09
11717,58955,1990-09-10,1991-09-10
11718,60112,1998-01-01,1999-01-01
11719,76415,1996-01-20,1997-01-19
11720,41731,1992-08-19,1993-08-19
11721,40000,1990-11-30,1991-11-30
11722,40000,1997-12-18,1998-12-18
11723,91895,1992-09-26,1993-09-26
11724,40000,1995-09-26,1996-09-25
11725,41545,1988-09-15,1989-09-15
11726,46017,1990-05-29,1991-05-29
11727,54335,1992-03-07,1993-03-07
11728,41427,1989-12-12,1990-12-12
11729,75926,1993-07-19,1994-07-19
11730,97213,1997-11-13,1998-11-13
11731,40000,1996-12-18,1997-12-18
11732,40000,1996-12-22,1997-12-22
11733,46092,1992-01-12,1993-01-11
11734,49728,1998-08-09,1999-08-09
11735,40000,1988-07-14,1989-07-14
11736,44127,1994-03-07,1995-03-07
11737,48832,1995-07-11,1996-07-10
11738,58432,1986-06-19,1987-06-19
11739,43666,1993-03-20,1994-03-20
11740,79335,1986-09-03,1987-09-03
11741,59925,1989-02-04,1990-02-04
11742,56759,1996-04-12,1997-04-12
11743,57591,1999-06-18,2000-06-17
11744,40000,1989-08-23,1990-08-23
11745,48355,1999-12-12,2000-12-11
11746,55951,1988-11-17,1989-11-17
11747,90239,1986-02-20,1987-02-20
11748,54491,1996-07-24,1997-07-24
11749,40000,1997-07-02,1998-07-02
11750,40000,1995-11-19,1996-11-18
11751,40000,1988-11-03,1989-11-03
11752,60876,1992-11-10,1993-11-10
11753,80308,1991-05-01,1992-04-30
11754,43638,1999-11-06,2000-11-05
11755,56874,1990-12-05,1991-12-05
11756,59493,1999-11-26,2000-11-25
11757,40000,1987-04-07,1988-04-06
11758,43432,1999-03-18,2000-03-17
11759,40000,1988-04-30,1989-04-30
11760,40000,1985-09-15,1986-09-15
11761,52986,1991-06-12,1992-06-11
11762,52050,1995-08-04,1996-02-12
11763,40000,1997-04-18,1998-04-18
11764,64875,1991-12-16,1992-12-15
11765,40000,1991-07-04,1992-07-03
11766,40000,1987-10-27,1988-10-26
11767,55832,1986-12-19,1987-12-19
11768,40509,1991-04-25,1992-04-24
11769,40000,1993-10-22,1994-10-22
11770,40000,1992-11-29,1993-11-29
11771,40000,1988-11-22,1989-11-22
11772,61295,1999-11-07,2000-11-06
11773,40000,1990-05-29,1991-05-29
11774,40000,1998-11-26,1999-11-26
11775,40000,1988-11-15,1989-11-15
11776,77997,1986-11-05,1987-11-05
11777,40000,1994-06-21,1995-06-21
11778,40000,1992-12-28,1993-12-28
11779,40000,1996-11-21,1997-11-21
11780,49009,1987-09-11,1988-09-10
11781,67981,1997-12-04,1998-12-04
11782,40000,1991-02-01,1992-02-01
11783,40000,1994-07-14,1995-07-14
11784,58447,1995-12-07,1996-12-06
11785,111231,1995-07-03,1996-07-02
11786,40000,1996-02-28,1997-02-27
11787,40000,1990-01-10,1991-01-10
11788,59292,1986-10-03,1987-10-03
11789,41863,1989-08-18,1990-08-18
11790,41777,1988-03-09,1989-03-09
11791,40000,1994-11-15,1995-11-15
11792,40000,1987-05-29,1988-05-28
11793,40000,1996-06-06,1997-06-06
11794,40000,1992-09-04,1993-09-04
11795,40000,1992-03-24,1993-03-24
11796,63002,1989-01-23,1990-01-23
11797,88050,1988-08-30,1989-08-30
11798,81093,1987-12-10,1988-12-09
11799,58726,1996-03-06,1997-03-06
11800,40000,1990-08-08,1991-08-08
11801,67265,1992-06-12,1993-06-12
11802,60280,1988-04-12,1989-04-12
11803,40000,1997-09-25,1998-09-25
11804,46168,1986-09-16,1987-09-16
11805,40000,1985-09-01,1986-09-01
11806,45424,1996-04-02,1997-04-02
11807,40000,1992-07-11,1993-07-11
11808,51897,1986-05-17,1987-05-17
11809,55101,1987-03-02,1988-03-01
11810,41256,1992-01-05,1993-01-04
11811,52695,1992-03-28,1993-03-28
11812,47297,1987-09-30,1988-09-29
11813,94687,1987-03-16,1988-03-15
11814,40000,1996-06-09,1997-06-09
11815,52239,1986-04-12,1987-04-12
11816,53163,1991-08-05,1992-08-04
11817,50638,1986-04-12,1987-04-12
11818,44252,1987-08-14,1988-08-13
11819,59829,1987-07-07,1988-07-06
11820,46244,1993-06-20,1994-06-20
11821,50404,1995-12-13,1996-12-12
11822,67396,1996-07-07,1997-07-07
11823,72637,1995-10-23,1996-10-22
11824,41033,1993-10-09,1994-10-09
11825,53906,1987-05-02,1988-05-01
11826,49062,1988-07-06,1989-07-06
11827,43015,1995-07-13,1996-07-12
11828,59619,1985-06-12,1986-06-12
11829,40000,1999-10-11,2000-10-10
11830,67232,1986-07-15,1987-07-15
11831,51751,1993-07-18,1994-07-18
11832,40000,1996-02-04,1997-02-03
11833,66574,1999-07-15,2000-07-14
11834,84003,1995-02-05,1996-02-05
11835,40000,1992-01-15,1993-01-14
11836,40000,1989-07-28,1990-07-28
11837,55519,1990-06-15,1991-06-15
11838,68674,1986-07-11,1987-07-11
11839,73024,1990-12-14,1991-12-14
11840,52977,1986-12-21,1987-12-21
11841,90296,1996-04-02,1997-04-02
11842,40000,1991-12-11,1992-12-10
11843,48703,1998-02-20,1999-02-20
11844,78049,1988-01-27,1989-01-26
11845,40000,1991-07-23,1992-07-22
11846,53448,1994-06-22,1995-06-22
11847,64449,1996-01-13,1997-01-12
11848,58804,1996-12-01,1997-12-01
11849,63730,1991-08-27,1992-08-26
11850,62811,1991-02-10,1992-02-10
11851,41508,1992-03-31,1993-03-31
11852,66717,1994-03-07,1995-03-07
11853,61941,1988-11-17,1989-11-17
11854,40000,1992-06-30,1993-06-30
11855,64165,1992-07-20,1993-07-20
11856,40000,1989-05-23,1990-05-23
11857,94805,1986-08-27,1987-08-27
11858,40335,1996-08-15,1997-08-15
11859,79630,1998-07-28,1999-07-28
11860,52102,1992-12-04,1993-12-04
11861,66619,1990-05-28,1991-05-28
11862,46011,1993-01-20,1994-01-20
11863,54220,1988-12-16,1989-12-16
11864,52517,1995-11-02,1996-11-01
11865,40000,1998-02-07,1998-05-04
11866,40481,1993-11-12,1994-11-12
11867,53552,1996-12-05,1997-12-05
11868,48349,1995-04-03,1996-04-01
11869,62968,1996-08-12,1997-08-12
11870,92890,1990-12-01,1991-12-01
11871,67424,1993-10-13,1994-10-13
11872,43159,1994-02-12,1995-02-12
11873,52243,1998-11-14,1999-11-14
11874,72605,1996-06-10,1997-06-10
11875,62315,1992-07-25,1993-07-25
11876,45372,1991-06-08,1992-06-07
11877,50777,1995-09-17,1996-09-16
11878,59403,1990-03-20,1991-03-20
11879,40000,1987-12-10,1988-12-09
11880,85790,1993-01-31,1994-01-31
11881,76541,1990-04-08,1991-04-08
11882,49334,1991-09-18,1992-09-17
11883,58135,1988-04-16,1989-04-16
11884,79860,1998-06-18,1999-06-18
11885,43445,1997-01-12,1998-01-12
11886,40000,1994-10-02,1995-10-02
11887,40000,1998-03-31,1999-03-31
11888,53720,1994-11-28,1995-11-28
11889,41636,1996-12-25,1997-12-25
11890,65525,1990-02-09,1991-02-09
11891,40000,1995-02-04,1996-02-04
11892,50901,1994-11-26,1995-11-26
11893,50514,1999-10-02,2000-10-01
11894,56198,1988-06-22,1989-06-22
11895,66950,1990-01-29,1991-01-29
11896,40000,1990-07-04,1991-07-04
11897,80049,1988-06-16,1989-06-16
11898,43347,1996-12-01,1997-12-01
11899,40864,1996-01-19,1997-01-18
11900,73147,1990-05-26,1991-05-26
11901,78197,1992-08-01,1993-08-01
11902,40000,1996-09-22,1997-09-22
11903,48959,1990-12-09,1991-12-09
11904,71752,1997-02-10,1998-02-10
11905,40251,1989-05-12,1990-05-12
11906,81324,1999-02-07,2000-02-07
11907,40000,1992-02-27,1993-02-26
11908,79580,1985-10-16,1986-10-16
11909,48724,1994-02-21,1995-02-21
11910,58018,1992-09-12,1993-09-12
11911,40000,1990-06-05,1991-06-05
11912,49842,1985-11-13,1986-11-13
11913,40000,1985-08-17,1986-08-17
11914,40000,1988-06-02,1989-06-02
11915,58042,1992-06-28,1993-06-28
11916,66691,1988-07-22,1989-07-22
11917,40000,1997-03-08,1998-03-08
11918,40000,1987-03-19,1988-03-18
11919,40000,1990-10-28,1991-10-27
11920,69818,1985-12-24,1986-12-24
11921,45865,1986-03-04,1987-03-04
11922,40000,1985-11-01,1986-11-01
11923,40000,1994-09-28,1995-09-28
11924,62705,1997-01-09,1998-01-09
11925,55133,1998-10-25,1999-10-25
11926,41612,1998-09-18,1999-09-18
11927,76086,1986-04-26,1987-04-26
11928,40000,1995-10-19,1996-10-18
11929,40000,1989-04-12,1990-04-12
11930,50704,1991-01-14,1992-01-11
11931,73369,1991-01-13,1992-01-13
11932,44255,1990-08-04,1991-08-04
11933,56130,1987-06-13,1988-06-12
11934,42846,1994-03-09,1995-03-09
11935,72224,1997-07-20,1998-07-20
11936,81194,1994-11-21,1995-11-21
11937,75590,1996-04-19,1997-04-19
11938,40000,1994-07-15,1995-07-15
11939,64815,1992-08-14,1993-08-14
11940,60193,1996-11-02,1997-11-02
11941,52224,1986-01-31,1987-01-31
11942,77391,1985-04-06,1986-04-06
11943,68057,1992-01-26,1993-01-25
11944,52061,1994-12-01,1995-12-01
11945,53056,1994-01-21,1995-01-21
11946,66544,1998-08-24,1999-08-24
11947,54249,1995-10-24,1996-10-23
11948,49929,1995-05-10,1996-05-09
11949,40000,1985-03-11,1986-03-11
11950,41360,1987-10-23,1988-10-22
11951,40000,1989-10-14,1990-10-14
11952,53243,1995-12-19,1996-12-18
11953,51390,1996-03-21,1997-03-21
11954,81841,1997-05-08,1998-05-08
11955,40000,1995-04-25,1996-04-24
11956,68564,1991-08-15,1992-08-14
11957,58955,1992-04-02,1993-04-02
11958,57996,1991-10-13,1992-10-12
11959,47935,1996-07-28,1997-07-28
11960,40000,1988-07-28,1989-07-28
11961,83539,1997-06-26,1998-06-26
11962,40000,1988-10-30,1989-10-29
11963,40000,1989-09-17,1990-09-17
11964,71667,1998-03-19,1999-03-19
11965,57709,1993-10-07,1994-10-07
11966,61626,1987-01-20,1988-01-20
11967,40000,1997-08-23,1998-08-23
11968,65439,1995-08-08,1996-08-07
11969,91787,1998-04-15,1999-04-15
11970,40000,1993-02-28,1994-02-28
11971,40000,1987-11-11,1988-11-10
11972,52908,1994-04-25,1995-04-25
11973,40000,1989-04-13,1990-04-13
11974,61173,1989-07-23,1990-07-23
11975,40000,1991-03-24,1992-03-23
11976,70345,1986-10-08,1987-10-08
11977,40000,1991-06-14,1992-06-13
11978,56414,1991-06-25,1992-06-24
11979,50796,1998-06-07,1999-06-07
11980,58241,1998-02-18,1999-02-18
11981,42925,1990-09-14,1991-09-14
11982,40000,1985-12-17,1986-12-17
11983,40000,1986-10-11,1987-10-11
11984,59501,1997-05-22,1998-05-22
11985,40000,1985-12-18,1986-12-18
11986,48563,1991-08-06,1992-08-05
11987,40000,1988-10-17,1989-10-17
11988,57652,1985-11-03,1986-11-03
11989,40000,1989-01-07,1990-01-07
11990,63106,1988-09-05,1989-09-05
11991,61223,1985-09-29,1986-09-29
11992,40000,1991-09-22,1992-09-21
11993,56505,1996-10-22,1997-10-22
11994,49761,1993-11-11,1994-11-11
11995,55714,1998-01-19,1999-01-19
11996,52870,1994-01-21,1995-01-21
11997,40000,1999-02-21,1999-08-06
11998,58617,1991-12-16,1992-12-15
11999,40000,1996-07-21,1997-07-21
12000,50678,1989-12-11,1990-12-11
12001,71467,1993-06-28,1994-06-28
12002,42654,1994-10-14,1995-10-14
12003,59540,1992-11-20,1993-11-20
12004,58136,1997-01-11,1998-01-11
12005,46505,1997-06-28,1998-06-28
12006,44032,1998-05-08,1999-05-08
12007,40000,1989-05-17,1990-05-17
12008,68535,1991-08-07,1992-08-06
12009,55614,1998-09-22,1999-09-22
12010,40000,1989-09-02,1990-09-02
12011,85833,1988-07-22,1989-07-22
12012,72898,1993-01-14,1994-01-14
12013,70615,1990-08-06,1991-08-06
12014,55769,1988-10-11,1989-10-11
12015,42853,1999-11-16,2000-11-15
12016,42839,1997-02-18,1998-02-18
12017,50760,1992-06-21,1993-06-21
12018,46011,1999-04-25,2000-04-24
12019,40000,1986-02-17,1987-02-17
12020,73508,1988-08-09,1989-08-09
12021,40000,1991-09-30,1992-09-29
12022,63140,1998-01-18,1999-01-18
12023,40000,1994-12-08,1995-12-08
12024,65580,1997-11-03,1998-11-03
12025,62126,1985-02-28,1986-02-28
12026,76571,1999-07-06,2000-07-05
12027,45038,1985-11-23,1986-11-23
12028,51314,1992-09-02,1993-09-02
12029,41474,1986-07-10,1987-07-10
12030,40000,1996-06-24,1997-06-24
12031,51383,1987-02-10,1988-02-10
12032,40000,1988-03-23,1989-03-23
12033,49992,1997-11-30,1998-11-30
12034,40148,1995-11-22,1996-11-21
12035,40000,1995-06-18,1996-06-17
12036,67143,1986-09-05,1987-09-05
12037,47805,1986-10-01,1987-10-01
12038,40000,1987-01-09,1988-01-09
12039,44145,1988-04-04,1989-04-04
12040,64813,1998-09-28,1999-09-28
12041,65814,1991-01-23,1992-01-23
12042,52176,1995-05-19,1996-05-18
12043,49009,2000-01-05,2001-01-04
12044,40000,1990-04-19,1991-04-19
12045,40000,1991-03-03,1992-03-02
12046,70172,1996-01-13,1997-01-12
12047,52051,1996-08-23,1997-08-23
12048,56508,1985-05-25,1986-05-25
12049,46155,1996-03-14,1997-03-14
12050,46704,1989-04-01,1990-04-01
12051,49750,1985-09-28,1986-09-28
12052,40000,1986-04-07,1987-04-07
12053,48319,1989-11-12,1990-11-12
12054,67400,1999-08-06,2000-08-05
12055,60201,1990-06-22,1991-06-22
12056,40000,1986-07-31,1987-07-31
12057,75815,1990-09-22,1991-09-22
12058,61378,1991-08-06,1992-08-05
12059,45275,1991-05-23,1992-05-22
12060,40000,1996-06-21,1997-06-21
12061,62796,1988-04-14,1989-04-14
12062,44199,1996-01-04,1997-01-03
12063,56022,1994-07-24,1995-07-24
12064,40000,1986-03-14,1987-03-14
12065,51884,1987-06-18,1988-06-17
12066,69228,1985-09-20,1986-09-20
12067,72160,1986-06-24,1987-06-24
12068,51401,1990-05-12,1991-02-22
12069,51928,1985-05-13,1986-05-13
12070,50233,1988-11-14,1989-11-14
12071,40000,1990-09-17,1991-09-17
12072,40000,1990-12-17,1991-12-17
12073,40000,1990-11-10,1991-11-10
12074,40000,1994-09-07,1995-09-07
12075,40000,1993-07-30,1994-07-30
12076,75381,1985-03-25,1986-03-25
12077,50388,1994-01-30,1995-01-30
12078,44947,1993-11-14,1994-11-14
12079,43632,1985-12-09,1986-12-09
12080,47946,1993-05-17,1994-05-17
12081,54699,1999-12-04,2000-12-03
12082,72118,1986-01-29,1987-01-29
12083,56808,1990-10-16,1991-10-16
12084,40000,1997-01-01,1998-01-01
12085,41358,1986-07-03,1987-07-03
12086,66388,1991-03-21,1992-03-20
